Part,%C,%Si,%Mn,%P,%S,%Cu,%Cr,%Ni,%Mo,%Sn,%Mg,%Ti,%Al,%B,%V,%Sb,%Nb,%Ce,%CE,%Reject
0,3.52,2.65,0.319,0.024,0.008,0.177,0.036,0.012,0.01,0.008,0.041,0.022,0.007,0.001,0.003,0.003,0,0,4.326,1.58
0,3.54,2.64,0.316,0.024,0.008,0.175,0.036,0.012,0.009,0.008,0.04,0.022,0.007,0.001,0.003,0.002,0,0,4.347,1.58
0,3.54,2.62,0.321,0.024,0.008,0.177,0.036,0.012,0.009,0.008,0.041,0.022,0.007,0.001,0.003,0.003,0,0,4.341,1.58
0,3.56,2.64,0.318,0.024,0.009,0.176,0.036,0.012,0.01,0.008,0.044,0.022,0.007,0.001,0.003,0.002,0,0,4.366,1.58
1,3.52,2.61,0.331,0.023,0.008,0.184,0.033,0.01,0.008,0.008,0.036,0.023,0.007,0.001,0.003,0.002,0,0,4.264,4.17
1,3.53,2.64,0.331,0.023,0.008,0.184,0.033,0.01,0.008,0.008,0.037,0.023,0.007,0.001,0.003,0.002,0,0,4.332,4.17
1,3.52,2.65,0.331,0.024,0.008,0.185,0.032,0.01,0.008,0.008,0.038,0.023,0.007,0.001,0.003,0.002,0,0,4.333,4.17
1,3.52,2.66,0.334,0.023,0.008,0.185,0.033,0.01,0.008,0.008,0.037,0.023,0.007,0.001,0.003,0.002,0,0,4.334,4.17
1,3.6,2.66,0.331,0.024,0.009,0.184,0.033,0.01,0.008,0.009,0.044,0.023,0.008,0.001,0.003,0.002,0,0,4.412,4.17
1,3.54,2.64,0.329,0.024,0.008,0.181,0.032,0.01,0.008,0.008,0.038,0.023,0.007,0.001,0.003,0.001,0,0,4.343,4.17
1,3.54,2.68,0.299,0.019,0.007,0.188,0.031,0.009,0.007,0.007,0.034,0.022,0.007,0.001,0.003,0,0,0,4.359,0.00
1,3.57,2.67,0.303,0.021,0.008,0.194,0.031,0.01,0.007,0.008,0.043,0.022,0.007,0.001,0.003,0.002,0,0,4.388,0.00
1,3.52,2.64,0.301,0.021,0.008,0.195,0.031,0.01,0.007,0.007,0.038,0.022,0.007,0.001,0.003,0.001,0,0,4.327,0.00
1,3.64,2.67,0.303,0.023,0.008,0.195,0.032,0.01,0.008,0.008,0.043,0.023,0.009,0.001,0.003,0.002,0,0,4.458,0.00
1,3.66,2.7,0.303,0.023,0.009,0.188,0.032,0.01,0.008,0.008,0.04,0.023,0.008,0.001,0.003,0.002,0,0,4.48,0.00
0,3.73,2.79,0.304,0.024,0.009,0.174,0.032,0.009,0.008,0.008,0.043,0.024,0.008,0.001,0.004,0.002,0,0,4.584,0.00
0,3.61,2.69,0.295,0.022,0.009,0.169,0.034,0.01,0.007,0.008,0.037,0.023,0.007,0.001,0.003,0.001,0,0,4.428,0.00
0,3.58,2.67,0.296,0.022,0.009,0.17,0.034,0.01,0.007,0.008,0.038,0.023,0.007,0.001,0.003,0.001,0,0,4.396,0.00
0,3.55,2.65,0.294,0.022,0.008,0.171,0.034,0.01,0.007,0.008,0.039,0.023,0.007,0.001,0.003,0.001,0,0,4.364,0.00
0,3.59,2.68,0.296,0.021,0.008,0.171,0.034,0.01,0.007,0.008,0.038,0.023,0.007,0.001,0.003,0.001,0,0,4.41,0.00
0,3.53,2.65,0.297,0.021,0.009,0.174,0.034,0.01,0.007,0.007,0.035,0.023,0.007,0.001,0.003,0.001,0,0,4.342,0.00
0,3.57,2.67,0.305,0.021,0.009,0.186,0.034,0.01,0.008,0.008,0.037,0.022,0.007,0.001,0.003,0.001,0,0,4.383,0.00
1,3.59,2.64,0.322,0.023,0.008,0.167,0.033,0.01,0.008,0.008,0.036,0.022,0.006,0.001,0.003,0.001,0,0,4.394,0.00
1,3.6,2.65,0.323,0.023,0.008,0.168,0.033,0.01,0.008,0.009,0.036,0.021,0.006,0.001,0.003,0.002,0,0,4.409,0.00
1,3.61,2.7,0.325,0.022,0.008,0.166,0.033,0.01,0.008,0.009,0.039,0.021,0.007,0.001,0.003,0.001,0,0,4.437,0.00
1,3.6,2.63,0.322,0.023,0.008,0.169,0.033,0.01,0.008,0.008,0.037,0.021,0.006,0.001,0.003,0.001,0,0,4.399,0.00
1,3.59,2.64,0.323,0.022,0.008,0.169,0.033,0.01,0.008,0.008,0.037,0.021,0.006,0.001,0.003,0.001,0,0,4.398,0.00
1,3.61,2.63,0.321,0.024,0.008,0.171,0.033,0.01,0.008,0.008,0.038,0.021,0.006,0.001,0.003,0.001,0,0,4.411,0.00
0,3.58,2.64,0.318,0.024,0.01,0.184,0.033,0.01,0.008,0.007,0.045,0.021,0.007,0.001,0.003,0.001,0,0,4.384,0.00
0,3.57,2.66,0.322,0.024,0.008,0.185,0.033,0.01,0.008,0.007,0.035,0.021,0.006,0.001,0.003,0.001,0,0,4.382,0.00
0,3.55,2.61,0.32,0.023,0.008,0.186,0.033,0.01,0.007,0.007,0.035,0.02,0.007,0.001,0.003,0.001,0,0,4.258,0.00
0,3.59,2.62,0.32,0.025,0.008,0.185,0.033,0.01,0.008,0.007,0.036,0.021,0.007,0.001,0.003,0.001,0,0,4.391,0.00
0,3.61,2.65,0.322,0.025,0.009,0.181,0.033,0.01,0.008,0.007,0.04,0.021,0.007,0.001,0.003,0.001,0,0,4.418,0.00
0,3.63,2.68,0.321,0.024,0.008,0.171,0.033,0.01,0.008,0.007,0.036,0.021,0.007,0.001,0.003,0.001,0,0,4.451,0.00
0,3.52,2.57,0.317,0.023,0.007,0.184,0.032,0.01,0.007,0.007,0.039,0.02,0.007,0.001,0.003,0.001,0,0,4.302,0.00
0,3.53,2.51,0.315,0.022,0.007,0.187,0.031,0.01,0.007,0.007,0.036,0.02,0.007,0.001,0.003,0.001,0,0,4.178,0.00
0,3.52,2.54,0.316,0.023,0.007,0.188,0.032,0.01,0.007,0.008,0.042,0.02,0.007,0.001,0.003,0.002,0,0,4.246,0.00
0,3.5,2.57,0.315,0.022,0.007,0.185,0.031,0.01,0.007,0.007,0.041,0.02,0.007,0.001,0.003,0.001,0,0,4.285,17.35
0,3.52,2.54,0.312,0.023,0.008,0.186,0.031,0.01,0.007,0.007,0.042,0.02,0.007,0.001,0.003,0.001,0,0,4.296,17.35
0,3.51,2.52,0.312,0.023,0.009,0.185,0.031,0.01,0.007,0.007,0.039,0.02,0.007,0.001,0.003,0.002,0,0,4.274,17.35
1,3.52,2.67,0.316,0.021,0.008,0.16,0.032,0.01,0.007,0.007,0.036,0.021,0.007,0.001,0.003,0.001,0,0,4.329,0.80
1,3.69,2.77,0.317,0.023,0.008,0.16,0.032,0.01,0.008,0.008,0.044,0.022,0.007,0.001,0.003,0.001,0,0,4.533,0.80
1,3.64,2.76,0.319,0.023,0.007,0.16,0.032,0.01,0.008,0.008,0.043,0.022,0.008,0.001,0.003,0.001,0,0,4.479,0.80
1,3.59,2.7,0.315,0.022,0.008,0.161,0.031,0.01,0.007,0.008,0.039,0.021,0.007,0.001,0.003,0.001,0,0,4.412,0.80
1,3.62,2.82,0.317,0.023,0.008,0.158,0.032,0.01,0.008,0.008,0.046,0.022,0.008,0.001,0.003,0.002,0,0,4.487,0.80
1,3.52,2.68,0.316,0.021,0.008,0.158,0.032,0.01,0.008,0.007,0.04,0.021,0.007,0.001,0.003,0.001,0,0,4.185,0.80
0,3.5,2.7,0.305,0.021,0.008,0.183,0.034,0.01,0.007,0.009,0.042,0.021,0.007,0.001,0.003,0.001,0,0,4.326,17.35
0,3.53,2.67,0.304,0.022,0.009,0.182,0.034,0.01,0.007,0.008,0.039,0.021,0.007,0.001,0.003,0.001,0,0,4.341,17.35
0,3.55,2.69,0.305,0.022,0.008,0.184,0.034,0.01,0.007,0.009,0.039,0.021,0.007,0.001,0.003,0.001,0,0,4.371,17.35
0,3.58,2.68,0.306,0.022,0.008,0.182,0.034,0.01,0.007,0.008,0.038,0.021,0.008,0.001,0.003,0.002,0,0,4.398,17.35
